CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 15-64,Population 65+,Population Total,Tourism Inbound,Tourism Outbound,Birth Rate,Internet Usage,Population 0-14,Population Urban
103049.5,26.0,46913.625,31261527363.0,0.056,36.0,0.016,0.22649999999999998,74.0,62.0,0.0,0.688,0.138,49034725.375,563000000.0,561000000.0,0.008,0.0,0.175,0.671
103049.5,26.0,46913.625,221375013581.25,0.07,1291.125,0.006,0.06,80.0,75.0,0.7,0.652,0.158,49034725.375,6341000000.0,4058250000.0,0.012,0.3,0.19,0.787
18643.0,26.0,5865.0,9063147901.0,0.035,476.0,0.011,0.116,76.0,74.0,0.3,0.667,0.024,668239.0,854000000.0,425000000.0,0.021,0.1,0.308,0.884
103049.5,26.0,46913.625,101286514977.0,0.046,231.0,0.029,0.12,71.0,69.0,0.0,0.611,0.042,49034725.375,677000000.0,671000000.0,0.019,0.0,0.347,0.64
72445.0,26.0,25937.0,15079752557.5,0.008,7.0,0.036,0.12,73.0,69.0,0.5,0.537,0.035,23801156.0,2000000.0,9000000.0,0.036,0.1,0.428,0.685
62691.0,26.0,18234.0,124895151203.0,0.074,1291.125,0.006,0.128,81.0,77.0,0.7,0.619,0.1,6289000.0,4611000000.0,3733000000.0,0.022,0.2,0.281,0.912
15508.0,26.0,4864.0,8457923945.0,0.097,171.0,0.023,0.118,73.0,70.0,0.1,0.575,0.031,4797000.0,935000000.0,387000000.0,0.031,0.0,0.394,0.798
55181.0,26.0,18805.0,37718011469.0,0.025,494.0,0.011,0.089,74.0,72.0,0.3,0.712,0.031,1906231.0,394000000.0,2852000000.0,0.024,0.1,0.257,0.981
15354.0,26.0,4907.0,17260364842.0,0.109,579.0,0.017,0.182,76.0,73.0,0.2,0.643,0.071,3235380.0,742000000.0,456000000.0,0.019,0.1,0.286,0.86
21896.0,26.0,8083.0,19867880550.0,0.031,264.0,0.014,0.101,74.0,70.0,0.1,0.605,0.023,2192535.0,377000000.0,629000000.0,0.024,0.0,0.372,0.716
34730.0,26.0,10876.0,17759889598.0,0.022,652.0,0.011,0.12,78.0,76.0,0.2,0.724,0.017,593693.0,128000000.0,307000000.0,0.019,0.0,0.259,0.963
